,capacity_mw,month,year,season,mwincrease,decay,sumdecay,adjustedcapacity,ghi_kwh_m2_day,capacity_factor,generation_gwh,Price ($/MWh),price_GWh,pricespike,pricevolatility,pricesmooth
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,96.76,0.09676,False,0.4898197721111151,0.10022666666666667
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,114.14,0.11414,False,0.3772395456001005,0.10694750000000001
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,136.09,0.13609000000000002,False,0.3837477822730978,0.11098083333333335
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,243.41,0.24341,False,0.4257913126064538,0.12569416666666666
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,252.05,0.25205,False,0.43683459321638424,0.14127416666666667
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,270.17,0.27017,True,0.34172604547574087,0.15995333333333336
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,292.21,0.29220999999999997,True,0.3850242380178487,0.17373916666666667
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,259.81,0.25981,False,0.4083404164818586,0.18205666666666667
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,182.17,0.18217,False,0.4068436639530756,0.1848483333333333
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,116.0,0.116,False,0.4057707841685612,0.18496416666666668
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,88.35,0.08835,False,0.4450558854049656,0.18110583333333333
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,66.62,0.06662,False,0.5122086015242514,0.17648166666666668
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185000000000016,0.5604450000000001,150.278555,7.3114,0.30464166666666664,34.061145437837006,85.2,0.0852,False,0.5244000011724161,0.17551833333333333
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,57.82,0.05782,False,0.5934161131679637,0.170825
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,157.76,0.15775999999999998,False,0.5931465418712476,0.17263083333333332
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,142.6,0.1426,False,0.5727660553422712,0.16423
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,198.02,0.19802,False,0.554937161120342,0.1597275
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,200.34,0.20034,False,0.528778562901718,0.15390833333333334
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,217.14,0.21714,False,0.49580908714573607,0.1476525
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,165.64,0.16563999999999998,False,0.456023519202206,0.139805
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,102.26,0.10226,False,0.4459119488035855,0.13314583333333332
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,45.15,0.045149999999999996,False,0.5309497493429779,0.12724166666666667
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,54.86,0.05486,False,0.5675285149447142,0.12445083333333333
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,74.23,0.07423,False,0.5598816179302099,0.125085
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,8.0959,0.3373291666666667,49.6794844749045,39.18,0.03918,False,0.6318263423271746,0.12125000000000001
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,16.6,0.0166,False,0.8119104440353209,0.117815
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,116.01,0.11601,False,0.7982710950214686,0.11433583333333332
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,149.21,0.14921,False,0.8007399532195333,0.11488666666666665
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,148.54,0.14854,False,0.7791940334132228,0.11076333333333332
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,90.58,0.09058,False,0.735874177903653,0.10161666666666667
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,63.87,0.06387,False,0.6719658253656472,0.08884416666666667
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,86.27,0.08627,False,0.6265221485050243,0.08223000000000001
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,115.13,0.11513,False,0.6337545122220593,0.0833025
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,141.86,0.14186,False,0.6444824178607013,0.09136166666666667
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,120.32,0.12032,False,0.6445385066427703,0.09681666666666668
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.7822,0.28259166666666663,56.255571587366994,121.54,0.12154000000000001,False,0.6516949675100454,0.10075916666666668
