date,capacity_mw,month,year,season,mwincrease,decay,sumdecay,adjustedcapacity,ghi_kwh_m2_day,capacity_factor,generation_gwh
2021-03,157.455,3,2021,Autumn,4.018000000000001,0.008355,0.578825,156.87617500000002,4.3548,0.18145,21.178095373590004
2021-04,160.484,4,2021,Autumn,3.0289999999999964,0.016729999999999946,0.595555,159.88844500000002,3.1505,0.13127083333333334,15.111856379175002
2021-05,164.948,5,2021,Autumn,4.463999999999999,0.01007,0.605625,164.342375,2.1266,0.088608333,10.83420533
2021-06,170.265,6,2021,Winter,5.316999999999979,0.012679999999999936,0.6183049999999999,169.646695,1.4455,0.060229167,7.356728929
2021-07,173.856,7,2021,Winter,3.591000000000008,0.014185000000000088,0.63249,173.22351,1.8528,0.0772,9.949404099168001
2021-08,176.161,8,2021,Winter,2.305000000000007,0.014159999999999968,0.64665,175.51435,2.5018,0.10424166666666666,13.61215583
2021-09,179.197,9,2021,Spring,3.0360000000000014,0.013954999999999985,0.6606049999999999,178.536395,3.8712,0.1613,20.73450277
2021-10,183.165,10,2021,Spring,3.9679999999999893,0.017145,0.6777499999999999,182.48725,5.0006,0.20835833333333334,28.28891801
2021-11,189.047,11,2021,Spring,5.882000000000005,0.013495,0.6912449999999998,188.355755,6.0041,0.25017083333333334,33.92720365786499
2021-12,194.042,12,2021,Summer,4.9950000000000045,0.01528,0.7065249999999998,193.335475,5.8798,0.2449916666666667,35.239991703055004
2022-01,198.673,1,2022,Summer,4.631,0.018870000000000005,0.7253949999999999,197.947605,7.5034,0.31264166666666665,46.043681840066995
2022-02,204.008,2,2022,Summer,5.335000000000008,0.012990000000000066,0.738385,203.26961500000002,4.6781,0.19492083333333332,26.625636406082002
2022-03,210.315,3,2022,Autumn,6.306999999999988,0.020090000000000004,0.758475,209.556525,4.9358,0.20565833333333336,32.06420197894501
2022-04,215.702,4,2022,Autumn,5.3870000000000005,0.015144999999999981,0.77362,214.92838,3.4675,0.14447916666666666,22.35792473
2022-05,221.584,5,2022,Autumn,5.882000000000005,0.022319999999999993,0.79594,220.78806,2.1689,0.090370833,14.84488392
2022-06,226.452,6,2022,Winter,4.867999999999995,0.026584999999999893,0.8225249999999998,225.62947499999999,1.4856,0.061900000000000004,10.05585444
2022-07,231.827,7,2022,Winter,5.375,0.017955,0.8404799999999999,230.98651999999998,1.5749,0.065620833,11.27720078
2022-08,238.979,8,2022,Winter,7.152000000000015,0.011525000000000033,0.8520049999999999,238.12699500000002,2.472,0.103,18.248147880839998
2022-09,245.994,9,2022,Spring,7.014999999999986,0.015180000000000008,0.8671849999999999,245.126815,3.5498,0.14790833333333334,26.10453504
2022-10,251.225,10,2022,Spring,5.2309999999999945,0.019839999999999948,0.8870249999999998,250.337975,5.0885,0.21202083333333333,39.489188359412495
2022-11,258.512,11,2022,Spring,7.287000000000006,0.029410000000000026,0.9164349999999999,257.595565,5.9143,0.24642916666666667,45.70492350238501
2022-12,264.673,12,2022,Summer,6.161000000000001,0.024975000000000025,0.9414099999999999,263.73159,6.5539,0.27307916666666665,53.582584498730995
2023-01,268.532,1,2023,Summer,3.8589999999999804,0.023155000000000002,0.9645649999999999,267.567435,6.0946,0.2539416666666667,50.55221117
2023-02,273.789,2,2023,Summer,5.257000000000005,0.026675,0.9912399999999999,272.79776,5.3189,0.22162083333333335,40.627552158591996
2023-03,273.097,3,2023,Autumn,-0.692,0.031535,1.0227749999999998,272.07422499999996,4.8166,0.20069166666666668,40.624654076184996
2023-04,279.096,4,2023,Autumn,5.999000000000024,0.026935000000000004,1.0497099999999997,278.04629,3.0022,0.12509166666666668,25.04251716
2023-05,286.464,5,2023,Autumn,7.367999999999995,0.029410000000000026,1.0791199999999996,285.38488,1.7897,0.074570833,15.833352911816002
2023-06,293.046,6,2023,Winter,6.581999999999994,0.024339999999999976,1.1034599999999997,291.94254,1.7189,0.071620833,15.054600960180002
